2017-03-13 16:52:16,148 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:CAC-014-50203-1489434556966-0:1) uptime 2 minutes | org.apache.activemq.broker.BrokerService | Thread-26
2017-03-13 16:52:16,149 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:CAC-014-50203-1489434556966-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-26
2017-03-13 16:52:16,151 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@735b5592: startup date [Mon Mar 13 16:49:15 BRT 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-26
2017-03-13 16:52:16,178 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-26
2017-03-13 16:52:21,224 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@735b5592: startup date [Mon Mar 13 16:52:21 BRT 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-03-13 16:52:21,984 | INFO  | PListStore:[C:\Users\rrm\workspace\Curso-JMS-e-ActiveMQ-Mensageria-com-Java\apache-activemq-5.12.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-03-13 16:52:22,011 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\rrm\workspace\Curso-JMS-e-ActiveMQ-Mensageria-com-Java\apache-activemq-5.12.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-03-13 16:52:22,330 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-03-13 16:52:22,344 | INFO  | Recovering from the journal @1:7402 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-03-13 16:52:22,348 | INFO  | Recovery replayed 36 operations from the journal in 0.012 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-03-13 16:52:22,487 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:CAC-014-51788-1489434742367-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-03-13 16:52:22,505 | INFO  | Listening for connections at: tcp://CAC-014:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-03-13 16:52:22,507 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-03-13 16:52:22,514 | INFO  | Listening for connections at: amqp://CAC-014:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-03-13 16:52:22,517 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-03-13 16:52:22,522 | INFO  | Listening for connections at: stomp://CAC-014:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-03-13 16:52:22,524 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-03-13 16:52:22,530 | INFO  | Listening for connections at: mqtt://CAC-014:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-03-13 16:52:22,533 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-03-13 16:52:22,705 | INFO  | Listening for connections at ws://CAC-014:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-03-13 16:52:22,706 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-03-13 16:52:22,709 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:CAC-014-51788-1489434742367-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-03-13 16:52:22,711 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
